,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
44,0.833,0.833,0.639,0.639,0.847,0.847,0.681,0.681,0.792,0.792,0.722,0.722,0.792,0.792,0.736,0.736,0.681,0.681,0.806,0.806,0.722,0.722,0.764,0.764,0.847,0.847,0.792,0.792,0.792,0.792,0.708,0.792,0.833,0.611,0.875,0.722,0.708,0.833,0.667,0.917,0.792,0.75,0.639,0.847,0.0,0.583,0.458,0.611,0.611,0.486,0.569,0.569,0.403,0.444,0.444
45,0.583,0.583,0.528,0.528,0.736,0.736,0.542,0.542,0.569,0.569,0.5,0.5,0.681,0.681,0.486,0.486,0.542,0.542,0.778,0.778,0.5,0.5,0.458,0.458,0.736,0.736,0.458,0.458,0.458,0.458,0.597,0.458,0.583,0.639,0.542,0.694,0.375,0.583,0.417,0.667,0.458,0.5,0.417,0.736,0.583,0.0,0.764,0.806,0.806,0.597,0.681,0.681,0.514,0.528,0.528
46,0.542,0.542,0.542,0.542,0.5,0.5,0.778,0.778,0.556,0.556,0.625,0.625,0.444,0.444,0.611,0.611,0.778,0.778,0.542,0.542,0.736,0.736,0.694,0.694,0.5,0.5,0.417,0.417,0.417,0.417,0.361,0.417,0.542,0.597,0.5,0.653,0.333,0.542,0.375,0.542,0.417,0.375,0.653,0.5,0.458,0.764,0.0,0.764,0.764,0.472,0.639,0.639,0.472,0.486,0.486
47,0.778,0.778,0.417,0.417,0.542,0.542,0.542,0.542,0.486,0.486,0.611,0.611,0.486,0.486,0.597,0.597,0.542,0.542,0.583,0.583,0.5,0.5,0.458,0.458,0.542,0.542,0.653,0.653,0.653,0.653,0.403,0.653,0.778,0.833,0.736,0.889,0.569,0.778,0.611,0.694,0.653,0.528,0.417,0.542,0.611,0.806,0.764,0.0,1.0,0.625,0.875,0.875,0.708,0.722,0.722
48,0.778,0.778,0.417,0.417,0.542,0.542,0.542,0.542,0.486,0.486,0.611,0.611,0.486,0.486,0.597,0.597,0.542,0.542,0.583,0.583,0.5,0.5,0.458,0.458,0.542,0.542,0.653,0.653,0.653,0.653,0.403,0.653,0.778,0.833,0.736,0.889,0.569,0.778,0.611,0.694,0.653,0.528,0.417,0.542,0.611,0.806,0.764,1.0,0.0,0.625,0.875,0.875,0.708,0.722,0.722
49,0.403,0.403,0.375,0.375,0.333,0.333,0.25,0.25,0.361,0.361,0.403,0.403,0.361,0.361,0.306,0.306,0.25,0.25,0.375,0.375,0.292,0.292,0.25,0.25,0.417,0.417,0.528,0.528,0.528,0.528,0.444,0.528,0.403,0.708,0.444,0.514,0.611,0.403,0.569,0.486,0.528,0.653,0.375,0.417,0.486,0.597,0.472,0.625,0.625,0.0,0.75,0.75,0.917,0.681,0.681
50,0.653,0.653,0.542,0.542,0.417,0.417,0.417,0.417,0.444,0.444,0.569,0.569,0.444,0.444,0.472,0.472,0.417,0.417,0.458,0.458,0.458,0.458,0.417,0.417,0.5,0.5,0.778,0.778,0.778,0.778,0.528,0.778,0.653,0.958,0.694,0.764,0.528,0.653,0.486,0.569,0.778,0.403,0.542,0.5,0.569,0.681,0.639,0.875,0.875,0.75,0.0,1.0,0.833,0.597,0.597
51,0.653,0.653,0.542,0.542,0.417,0.417,0.417,0.417,0.444,0.444,0.569,0.569,0.444,0.444,0.472,0.472,0.417,0.417,0.458,0.458,0.458,0.458,0.417,0.417,0.5,0.5,0.778,0.778,0.778,0.778,0.528,0.778,0.653,0.958,0.694,0.764,0.528,0.653,0.486,0.569,0.778,0.403,0.542,0.5,0.569,0.681,0.639,0.875,0.875,0.75,1.0,0.0,0.833,0.597,0.597
52,0.486,0.486,0.375,0.375,0.25,0.25,0.25,0.25,0.278,0.278,0.403,0.403,0.278,0.278,0.306,0.306,0.25,0.25,0.292,0.292,0.292,0.292,0.25,0.25,0.333,0.333,0.611,0.611,0.611,0.611,0.361,0.611,0.486,0.792,0.528,0.597,0.694,0.486,0.653,0.403,0.611,0.569,0.375,0.333,0.403,0.514,0.472,0.708,0.708,0.917,0.833,0.833,0.0,0.764,0.764
53,0.611,0.611,0.25,0.25,0.375,0.375,0.375,0.375,0.431,0.431,0.556,0.556,0.431,0.431,0.542,0.542,0.375,0.375,0.417,0.417,0.333,0.333,0.292,0.292,0.375,0.375,0.486,0.486,0.486,0.486,0.347,0.486,0.611,0.556,0.569,0.722,0.736,0.611,0.778,0.528,0.486,0.694,0.25,0.375,0.444,0.528,0.486,0.722,0.722,0.681,0.597,0.597,0.764,0.0,1.0
54,0.611,0.611,0.25,0.25,0.375,0.375,0.375,0.375,0.431,0.431,0.556,0.556,0.431,0.431,0.542,0.542,0.375,0.375,0.417,0.417,0.333,0.333,0.292,0.292,0.375,0.375,0.486,0.486,0.486,0.486,0.347,0.486,0.611,0.556,0.569,0.722,0.736,0.611,0.778,0.528,0.486,0.694,0.25,0.375,0.444,0.528,0.486,0.722,0.722,0.681,0.597,0.597,0.764,1.0,0.0
